,Brand,TopSpeed_KmH,FastCharge_KmH,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Range_km_binned,efficiency_WhKm_binned
86,Tesla ,180,740,RWD,Type 2 CCS,Pickup,N,6,45000,300-400,250-299
87,Audi ,190,470,AWD,Type 2 CCS,SUV,E,5,69551,200-300,200-249
88,Skoda ,180,540,AWD,Type 2 CCS,SUV,C,5,47500,400-500,150-199
89,Skoda ,160,440,RWD,Type 2 CCS,SUV,C,5,37500,300-400,150-199
90,Audi ,210,510,AWD,Type 2 CCS,SUV,E,5,93800,300-400,250-299
92,Kia ,167,320,FWD,Type 2 CCS,SUV,B,5,36837,300-400,150-199
93,Nissan ,200,500,AWD,Type 2 CCS,Hatchback,C,5,57500,400-500,200-249
94,Fiat ,150,330,FWD,Type 2 CCS,Cabrio,B,4,37900,200-300,150-199
95,Volkswagen ,160,470,RWD,Type 2 CCS,Hatchback,C,5,35575,300-400,150-199
96,Kia ,157,220,FWD,Type 2 CCS,SUV,B,5,33133,200-300,150-199
97,Byton ,190,420,RWD,Type 2 CCS,SUV,E,5,53500,300-400,200-249
98,Nissan ,160,440,FWD,Type 2 CCS,Hatchback,C,5,45000,300-400,150-199
99,Audi ,210,540,AWD,Type 2 CCS,SUV,E,5,96050,300-400,250-299
100,Nissan ,200,440,AWD,Type 2 CCS,Hatchback,C,5,50000,300-400,150-199
101,Nissan ,200,450,AWD,Type 2 CCS,Hatchback,C,5,65000,300-400,200-249
102,Byton ,190,480,AWD,Type 2 CCS,SUV,E,5,62000,400-500,200-249
